id,name,relationship,relative,relativename
Q1159122,Dan Meridor,child,Q42304031,Shaul Meridor
Q1159122,Dan Meridor,child,Q98785308,Avishai Meridor
Q1159122,Dan Meridor,father,Q2334778,Eliyahu Meridor
Q1159122,Dan Meridor,mother,Q6586102,Ra'anana Meridor
Q1159122,Dan Meridor,spouse,Q12408660,Liora Meridor
Q1159747,Danny Yatom,sibling,Q2909295,Ehud Yatom
Q1175220,David Levy,child,Q466537,Orly Levy-Abekasis
Q1175220,David Levy,child,Q6554413,Jackie Levy
Q1175220,David Levy,sibling,Q2890150,Maxim Levy
Q12409594,Moshe Lion,sibling,Q50411890,Nissim Leon
Q125731,Ehud Barak,spouse,Q30158635,Nava Barak
Q128911,Ezer Weizman,father,Q6922134,Yechiel Weizmann
Q128911,Ezer Weizman,spouse,Q6158321,Reuma Weizman
Q1296492,Efraim Sneh,father,Q1338975,Moshe Sneh
Q1344931,Omri Sharon,father,Q60206,Ariel Sharon
Q1344931,Omri Sharon,mother,Q109376407,Lily Sharon
Q1344931,Omri Sharon,sibling,Q7189909,Gilad Sharon
Q1367272,Moshe Feiglin,relative,Q30526859,Aya Zahavi Feiglin
Q1380540,Matan Vilnai,father,Q2335167,Zev Vilnay
Q1391548,Meir Porush,father,Q605443,Menachem Porush
Q1396120,Yair Lapid,father,Q471751,Tommy Lapid
Q1396120,Yair Lapid,mother,Q1572259,Shulamit Lapid
Q1396120,Yair Lapid,spouse,Q6700184,Lihi Lapid
Q143172,Yossi Sarid,child,Q2600402,Yishai Sarid
Q151796,Tzipi Livni,father,Q2447659,Eitan Livni
Q151796,Tzipi Livni,mother,Q6724502,Sara Livni
Q1711779,Yuli Edelstein,father,Q4529848,Юрий (Георгий) Михайлович Эдельштейн
Q1711779,Yuli Edelstein,spouse,Q27247995,Irina Nevzlin
Q18121227,Ruth Wasserman Lande,spouse,Q16128794,Aviv Wasserman
Q181832,Moshe Katsav,spouse,Q5560660,Gila Katsav
Q18368428,Yehuda Glick,child,Q109567641,Shahar Glick
Q18368428,Yehuda Glick,father,Q45312029,Shimon Glick
Q18522625,Mufid Mari,sibling,Q7029950,Nabiya Meri
Q18759744,Bezalel Smotrich,relative,Q19634034,Ayelet Nahmias-Verbin
Q18814813,Ksenia Svetlova,father,Q55316967,Igor Evgenevich Svetlov
Q19627844,Nurit Koren,child,Q56884557,Omer Koren
Q19627844,Nurit Koren,child,Q56884558,Zohar Koren
Q19627890,Oren Hazan,father,Q2907728,Yehiel Hazan
Q19634034,Ayelet Nahmias-Verbin,relative,Q18759744,Bezalel Smotrich
