wanted,position,positionid,from,start,end
Q18120890,Minister of Justice,Q742063,Q21794010,2019-06-05,2020-05-17
Q2120884,Minister of Construction and Housing,Q20021264,Q19634043,2019-01-09,2020-05-17
Q19201160,Minister of Communications,Q20021270,Q2584267,2017-05-28,2019-06-26
Q975492,Deputy Chief of the General Staff,Q6965097,Q2088195,2017-05-11,2018-12-13
Q21794010,Minister of Public Security,Q20021305,Q2663804,2015-05-25,2020-05-17
Q2301106,Minister of Agriculture and Rural Development,Q15731462,Q2375726,2015-05-14,2019-11-15
Q265006,Minister of Construction and Housing,Q20021264,Q723506,2015-05-14,2019-01-02
Q553567,Minister of the Interior,Q2433405,Q2663804,2014-11-05,2015-05-14
Q2583898,Minister of Strategic Affairs,Q2564757,Q1362317,2013-03-18,2015-05-14
Q21984541,National Security Advisor,Q56757160,Q15725863,2013,2016
Q20882964,Knesset CEO,Q12409303,Q6897315,2009-04,2013-05
Q265006,Minister of Welfare and Social Services,Q54291045,Q983258,2007-03-21,2011-01-17
Q344301,Minister of Justice,Q742063,Q151796,2006-11-29,2007-02-07
Q2601049,ambassador to France,Q23902308,Q3014683,2006-09-18,2010-12-03
Q652581,Minister of Justice,Q742063,Q151796,2004-12-05,2006-05-04
Q983258,Minister of Construction and Housing,Q20021264,Q151796,2004-06-04,2005-01-10
Q197108,Minister of Immigrant Absorption,Q20021262,Q151796,2003-02-28,2006-05-04
Q110950910,National Security Advisor,Q56757160,Q1296472,2002-09,2003-08
Q438848,Director of the Mossad,Q26464634,Q1296472,1998,2002
