@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
+++,Q966349,Gideon Sa'ar,,Deputy Prime Minister,,,
---,Q3663042,Karin Elharar,Q110061148,Minister of Water Resources,2021-06-13,,Q3663042-D98F8FD1-ABF7-4F06-8235-763E2B712A8D
---,Q3663042,Karin Elharar,Q15732343,Minister of Energy,2021-06-13,,Q3663042-C02DF7D6-6F73-4678-86DA-8320DD83E414
+++,Q3663042,Karine Elharrar,,"Minister of National Infrastructure, Energy, and Water",,,
+++,Q60951122,Matan Kahana,,Minister of Religious Affairs,,,
---,Q3593286,Omer Bar-Lev,Q110061184,Minister for Community Strengthening and Advancement,2021-06-13,,Q3593286-6A06013B-9ACB-45EB-B55F-4EC035414A99
---,Q1396120,Yair Lapid,Q2564757,Strategic Affairs Minister of Israel,2021-06-13,,Q1396120-6CFEBA2D-1B2B-4066-B675-F845B9C7CA00
---,Q2583898,Ze'ev Elkin,Q110062245,Liaison Between the Knesset and Government,2021-06-13,,Q2583898-77515F13-FC37-4A7D-8315-21FF179D9C9B
