@@,item,itemlabel,startdate,enddate
+++,Q2382713,Yehuda Leib Maimon,1948-05-14,1951-10-08
+++,Q2079775,Haim-Moshe Shapira,1951-10-08,1958-07-01
+++,Q2906690,Ya'akov Moshe Toledano,1958-12-03,1960-10-15
+++,Q2890045,Zerach Warhaftig,1961-11-02,1974-03-10
+++,Q2904325,Yitzhak Rafael,1974-03-10,1974-06-03
+++,Q434951,Haim Yosef Zadok,1974-06-03,1974-10-29
+++,Q2904325,Yitzhak Rafael,1974-10-30,1976-12-22
+++,Q434951,Haim Yosef Zadok,1977-01-16,1977-06-20
+++,Q216021,Yosef Burg,1981-08-05,1984-09-13
+++,Q57410,Shimon Peres,1984-09-13,1984-12-23
+++,Q216021,Yosef Burg,1984-09-13,1986-10-05
+++,Q2910400,Zevulun Hammer,1986-10-07,1990-06-11
+++,Q2909821,Avner Shaki,1990-06-11,1992-07-13
+++,Q34060,Yitzhak Rabin,1992-07-13,1995-02-27
+++,Q2909079,Shimon Shetreet,1995-02-27,1996-06-18
+++,Q43723,Binyamin Netanyahu,1996-06-18,1996-08-07
+++,Q2907072,Eli Suissa,1996-08-07,1997-08-12
+++,Q43723,Binyamin Netanyahu,1997-08-12,1997-08-22
+++,Q2910400,Zevulun Hammer,1997-08-22,1998-01-20
+++,Q43723,Binyamin Netanyahu,1998-01-20,1998-02-25
+++,Q2910106,Yitzhak Levy,1998-02-25,1998-09-13
+++,Q2907072,Eli Suissa,1998-09-13,1999-07-06
+++,Q2915390,Yitzhak Cohen,1999-07-06,2000-07-11
+++,Q548964,Yossi Beilin,2000-10-11,2001-03-07
+++,Q2905742,Asher Ohana,2001-03-07,2003-02-28
+++,Q60206,Ariel Sharon,2003-02-28,2003-12-31
+++,Q2915390,Yitzhak Cohen,2008-01-14,2009-03-31
+++,Q2330483,Ya'akov Margi,2009-03-31,2013-03-18
+++,Q2670985,Aryeh Deri,2018-10-14,2018-12-31
+++,Q2331109,Yitzhak Vaknin,2019-01-01,2020-05-17
