wdid,name,pid,position
Q39318,Naftali Bennett,Q208487,Prime Minister
Q1396120,Yair Lapid,"",Alternate Prime Minister of Israel
Q557436,Benny Gantz,Q13888823,Deputy Prime Minister
Q966349,Gideon Sa'ar,Q13888823,Deputy Prime Minister
Q20898016,Oded Forer,Q2081350,Minister of Agriculture and Rural Development
Q3663047,Pnina Tamano-Shata,Q2671706,Minister of Aliyah and Integration
Q8054214,Yoaz Hendel,Q2077979,Minister of Communications
Q2583898,Ze'ev Elkin,Q2080931,Minister of Housing and Construction
Q6940081,Hili Tropper,Q2081328,Minister of Culture and Sport
Q2612721,Nachman Shai,Q2566297,Minister of Diaspora Affairs
Q2783222,Orna Barbivai,Q2091487,Minister of the Economy
Q19634043,Yifat Shasha-Biton,Q2590151,Minister of Education
Q3818052,Tamar Zandberg,Q2907759,Minister of Environmental Protection
Q58311,Avigdor Lieberman,Q1707870,Minister of Finance
Q1572575,Hamad Amar,,Minister in the Finance Ministry
Q2916662,Nitzan Horowitz,Q2079801,Minister of Health
Q4358424,Elazar Stern,Q2082321,Minister of Intelligence
Q2791686,Ayelet Shaked,Q2909783,Minister of the Interior
Q3663051,Meir Cohen,Q2778059,"Minister of Labor, Social Affairs, and Social Services"
Q3663042,Karine Elharrar,Q4294949,"Minister of National Infrastructure, Energy, and Water"
Q3593286,Omer Bar-Lev,Q2565106,Minister of Public Security
Q3594030,Issawi Frej,Q2082286,Minister of Regional Cooperation
Q60951122,Matan Kahana,Q2081359,Minister of Religious Affairs
Q20071724,Orit Farkash-Hacohen,Q2091087,Minister of Science and Technology
Q7030786,Meirav Cohen,Q2082304,Minister for Social Equality
Q2468984,Yoel Razvozov,Q2565132,Minister of Tourism
Q391262,Merav Michaeli,Q2661479,Minister of Transportation
Q5360165,Eli Avidar,Q6866020,Minister in the Prime Minister's Office
