position,title
Q327948,President
Q208487,Prime Minister
Q95965310,Alternate Prime Minister
Q7040859,Deputy Prime Minister
Q15731462,Minister of Agriculture and Rural Development
Q88839002,Minister of Immigration and Absorption
Q20021270,Minister of Communications
Q110061158,Minister of Community Affairs
Q110061184,Minister for Community Strengthening and Advancement
Q20021264,Minister of Construction and Housing
Q20021272,Minister of Culture and Sport
Q13222899,Minister of Defence
Q110061168,"Minister for the Development of the Periphery, Negev, and Galilee"
Q2566297,Minister of Diaspora Affairs
Q23902466,Minister of Economics and Planning
Q20021267,Minister of Economy
Q20021291,Minister of Education
Q15732343,Minister of Energy
Q20021283,Minister of Environmental Protection
Q15722817,Minister of Finance
Q15710855,Minister of Foreign Affairs
Q15722942,Minister of Health
Q55406216,Minister of Home Front Defence
Q20021262,Minister of Immigrant Absorption
Q57279054,Minister of Immigration and Absorption
Q12409709,Minister of Information
Q2082321,Minister of Intelligence
Q2433405,Minister of the Interior
Q110062214,Minister of Jerusalem Affairs and Heritage
Q742063,Minister of Justice
Q890855,Minister of Labour
Q110061159,Minister for National Digital Matters
Q20021305,Minister of Public Security
Q2082286,Minister of Regional Development Minister
Q20021277,Minister of Religious Services
Q57279113,"Minister of Science, Culture and Sport"
Q20021301,Minister of Science and Technology
Q19803218,Minister of Social Equality
Q2564757,Minister of Strategic Affairs
Q15722454,Minister of Tourism
Q15731446,Minister of Transport and Road Safety
Q110061148,Minister of Water Resources
Q54291045,Minister of Welfare and Social Services
Q15733044,Minister without portfolio
Q110062245,Liaison Between the Knesset and Government
Q15728439,Deputy Minister of Defence
Q110062375,Deputy Minister of the Economy and Industry
Q15735049,Deputy Minister of Foreign Affairs
Q15732368,Deputy Minister of Health
Q110062315,Deputy Minister of Public Security
Q110062385,Deputy Minister in the Prime Minister's Office
Q110062463,Minister in the Ministry of Finance
Q2668563,Speaker of the Knesset
Q12409303,Knesset CEO
Q56757160,National Security Advisor
Q2915536,Attorney General
Q16341029,Governor of the Bank of Israel
Q545206,Chief of the General Staff
Q2276266,Mayor of Jerusalem
